257 32896 266
124 120 38 0
222 120 56 0
152 30 14 0
36 220 26 0
183 80 96 0
72 47 13 0
25 66 99 0
141 206 66 0
170 22 39 0
250 32 95 0
8 75 86 0
240 81 85 0
25 166 52 0
159 135 79 0
194 200 98 0
109 12 97 0
239 103 76 0
7 207 89 0
138 69 68 0
144 22 80 0
185 235 36 0
34 88 3 0
92 95 82 0
156 23 48 0
146 84 12 0
239 161 52 0
51 46 39 0
172 168 42 0
46 61 100 0
80 92 32 0
3 135 35 0
187 113 47 0
200 5 55 0
209 215 89 0
132 99 56 0
167 232 22 0
143 86 14 0
46 148 97 0
236 26 83 0
247 207 19 0
137 197 30 0
51 209 30 0
65 78 38 0
243 39 25 0
246 3 9 0
134 222 7 0
2 162 24 0
117 190 36 0
115 104 44 0
40 143 7 0
30 210 5 0
78 141 2 0
126 40 95 0
200 0 81 0
20 23 17 0
158 70 60 0
81 209 42 0
130 50 59 0
250 133 67 0
10 114 8 0
82 6 4 0
166 125 28 0
221 160 41 0
102 141 76 0
39 227 42 0
231 70 76 0
53 120 1 0
138 105 40 0
7 246 74 0
158 47 98 0
30 165 67 0
100 45 42 0
128 19 30 0
227 32 47 0
94 14 66 0
27 173 40 0
221 168 3 0
70 187 17 0
84 16 52 0
217 252 49 0
66 222 79 0
138 174 73 0
4 76 76 0
107 169 87 0
28 163 86 0
142 215 66 0
89 36 54 0
143 243 100 0
30 95 75 0
189 203 40 0
75 17 37 0
49 35 86 0
133 180 90 0
26 51 4 0
5 20 45 0
71 129 6 0
33 85 13 0
100 114 60 0
109 134 13 0
191 231 61 0
155 172 41 0
240 69 36 0
60 217 69 0
152 61 44 0
54 69 38 0
112 81 22 0
144 256 13 0
141 57 13 0
197 177 31 0
53 227 95 0
65 237 54 0
205 215 25 0
36 226 89 0
191 73 53 0
158 80 36 0
25 191 48 0
82 191 92 0
158 91 57 0
193 203 21 0
22 190 3 0
185 124 47 0
189 6 11 0
29 165 7 0
209 159 39 0
89 45 60 0
241 17 1 0
140 67 95 0
172 112 32 0
79 33 95 0
159 213 100 0
25 110 42 0
241 85 94 0
123 186 32 0
207 119 27 0
102 63 16 0
43 173 41 0
227 225 72 0
30 61 24 0
90 102 62 0
217 151 42 0
225 23 57 0
134 43 8 0
13 99 8 0
4 112 31 0
56 222 54 0
110 126 16 0
100 192 78 0
66 100 64 0
62 253 1 0
109 61 15 0
34 249 55 0
93 78 46 0
152 70 14 0
256 32 94 0
6 73 24 0
170 226 14 0
47 190 89 0
144 142 38 0
131 231 5 0
88 145 25 0
23 44 29 0
85 1 42 0
76 7 77 0
94 99 24 0
70 34 93 0
46 140 75 0
16 27 6 0
77 80 48 0
166 178 84 0
28 207 90 0
61 213 82 0
176 227 54 0
53 18 66 0
128 104 17 0
108 56 40 0
203 214 50 0
133 47 17 0
16 49 57 0
73 227 11 0
173 193 52 0
144 36 14 0
208 5 49 0
155 198 35 0
161 206 78 0
66 159 8 0
246 46 84 0
211 149 12 0
142 155 23 0
254 28 71 0
243 30 67 0
195 4 18 0
127 78 24 0
226 82 49 0
57 87 10 0
190 214 98 0
0 123 65 0
239 185 82 0
126 32 65 0
30 254 37 0
7 155 93 0
229 99 27 0
191 68 40 0
69 59 55 0
254 3 61 0
81 223 83 0
229 123 61 0
71 247 62 0
75 248 53 0
225 233 76 0
8 252 95 0
95 226 88 0
30 159 87 0
162 79 69 0
2 136 27 0
144 59 84 0
145 57 94 0
216 31 17 0
252 26 42 0
88 111 4 0
144 247 27 0
70 173 97 0
131 190 35 0
68 99 19 0
208 97 32 0
196 226 52 0
69 249 48 0
61 256 50 0
103 129 96 0
29 203 97 0
213 37 73 0
140 144 14 0
205 18 56 0
187 80 2 0
8 148 91 0
161 125 87 0
183 42 10 0
140 21 96 0
244 159 74 0
242 110 64 0
11 39 77 0
139 247 12 0
2 19 5 0
116 202 39 0
143 22 44 0
0 120 89 0
79 71 15 0
167 144 41 0
202 85 95 0
122 202 28 0
211 16 41 0
74 175 98 0
38 205 55 0
23 210 84 0
229 7 70 0
23 93 62 0
69 51 81 0
56 81 2 0
73 255 95 0
193 207 81 0
93 156 18 0
58 221 59 0
231 203 9 0
250 232 43 0
174 156 44 0
161 7 38 0
81 126 51 0
148 150 25 0
51 129 83 0
14 18 53 0
128 251 21 0
162 207 57 0
15 124 8 0
13 163 60 0
181 102 3 0
80 168 31 0
29 208 9 0
180 40 54 0
77 182 20 0
204 226 37 0
23 89 87 0
233 145 7 0
152 128 82 0
172 160 1 0
205 30 27 0
182 148 45 0
1 111 20 0
177 148 27 0
205 142 33 0
237 221 46 0
29 114 49 0
252 143 32 0
106 48 52 0
201 151 39 0
237 232 91 0
159 156 61 0
101 51 43 0
58 21 53 0
127 56 37 0
254 128 80 0
121 198 96 0
39 158 36 0
39 179 65 0
256 117 9 0
211 206 66 0
128 200 73 0
205 102 11 0
89 78 9 0
205 106 55 0
119 156 60 0
245 120 16 0
99 61 48 0
132 192 80 0
160 154 50 0
138 48 84 0
157 238 65 0
240 122 17 0
147 123 12 0
147 109 12 0
62 209 64 0
50 218 62 0
97 189 64 0
185 23 16 0
165 58 11 0
255 189 11 0
253 170 74 0
142 198 56 0
151 211 63 0
220 148 6 0
88 121 46 0
156 34 93 0
78 156 87 0
118 249 5 0
216 13 80 0
84 127 8 0
88 120 21 0
148 20 14 0
50 30 17 0
163 233 11 0
22 181 29 0
229 140 73 0
218 115 53 0
162 2 54 0
171 165 80 0
213 215 92 0
206 250 65 0
121 190 95 0
243 43 96 0
193 164 14 0
247 100 70 0
70 234 73 0
135 209 3 0
153 254 76 0
12 52 77 0
95 224 22 0
100 135 45 0
220 134 87 0
190 71 52 0
13 89 84 0
39 92 64 0
186 84 65 0
197 188 21 0
34 105 10 0
17 43 39 0
148 221 25 0
212 50 24 0
234 219 32 0
215 148 12 0
81 88 17 0
151 55 48 0
114 215 92 0
29 11 92 0
247 115 27 0
26 5 2 0
118 161 98 0
2 149 11 0
132 161 30 0
46 224 41 0
247 132 95 0
103 132 79 0
32 115 71 0
214 116 42 0
203 71 13 0
172 193 18 0
222 166 52 0
245 26 17 0
74 89 30 0
128 180 33 0
95 252 65 0
18 198 79 0
45 183 76 0
126 4 93 0
217 216 53 0
32 26 38 0
135 94 72 0
21 36 7 0
41 72 23 0
116 141 45 0
158 192 98 0
36 219 27 0
231 180 79 0
95 190 89 0
76 130 77 0
162 217 77 0
28 255 12 0
135 177 3 0
69 130 24 0
10 199 68 0
75 210 54 0
10 122 58 0
247 173 15 0
195 181 22 0
236 8 36 0
153 150 56 0
84 109 42 0
154 73 53 0
217 238 51 0
196 73 35 0
205 200 97 0
194 74 72 0
73 37 83 0
82 49 87 0
157 202 79 0
97 66 91 0
176 1 19 0
186 64 9 0
168 42 4 0
82 48 89 0
40 59 50 0
47 81 74 0
11 79 25 0
97 169 35 0
125 21 48 0
221 77 4 0
171 146 3 0
186 176 38 0
186 140 13 0
208 3 45 0
150 176 72 0
36 18 59 0
228 186 6 0
9 25 92 0
132 233 72 0
93 106 81 0
235 70 90 0
185 34 73 0
149 191 49 0
14 239 80 0
80 82 11 0
186 219 80 0
189 245 83 0
110 62 29 0
149 21 99 0
120 188 95 0
10 69 86 0
194 219 63 0
201 120 48 0
155 209 53 0
39 28 79 0
211 21 29 0
251 58 15 0
89 57 29 0
13 61 62 0
108 30 52 0
93 19 72 0
125 156 50 0
90 223 97 0
232 237 93 0
102 88 13 0
92 151 72 0
47 50 35 0
200 254 90 0
112 37 80 0
219 229 67 0
94 56 61 0
95 203 96 0
246 127 16 0
189 144 38 0
205 89 43 0
15 75 36 0
37 207 16 0
160 124 23 0
72 167 95 0
82 4 87 0
141 216 11 0
145 192 55 0
143 1 11 0
58 238 45 0
9 197 13 0
185 90 32 0
227 78 69 0
190 69 39 0
116 192 44 0
32 37 10 0
115 64 57 0
93 122 36 0
34 176 74 0
181 160 95 0
165 101 69 0
64 168 27 0
239 178 30 0
214 179 73 0
172 109 51 0
49 128 9 0
140 221 90 0
123 232 52 0
120 219 54 0
184 197 96 0
147 253 50 0
115 67 16 0
13 111 89 0
104 134 61 0
153 212 99 0
246 101 68 0
87 210 80 0
250 113 79 0
35 162 57 0
229 147 15 0
170 124 3 0
118 175 71 0
142 224 54 0
179 180 40 0
244 144 56 0
224 124 29 0
169 183 71 0
96 253 90 0
77 217 91 0
164 145 16 0
251 211 46 0
232 218 82 0
157 201 30 0
31 80 51 0
237 45 74 0
68 4 40 0
88 101 31 0
124 228 82 0
217 44 4 0
127 204 33 0
67 43 67 0
4 24 56 0
143 253 2 0
56 159 25 0
155 237 67 0
235 206 85 0
72 98 26 0
187 185 32 0
240 132 54 0
229 93 61 0
22 169 46 0
114 190 66 0
191 147 29 0
86 157 53 0
115 181 60 0
98 12 56 0
158 179 18 0
34 85 50 0
66 191 58 0
129 166 34 0
61 155 59 0
152 63 80 0
59 106 88 0
145 17 32 0
139 222 85 0
180 95 45 0
198 190 20 0
66 161 80 0
229 127 47 0
211 233 58 0
183 212 63 0
199 141 100 0
156 20 44 0
50 111 96 0
130 135 57 0
80 33 45 0
9 27 18 0
113 206 95 0
99 112 96 0
173 91 4 0
152 68 12 0
236 175 69 0
132 249 21 0
129 155 45 0
26 97 24 0
194 155 13 0
111 117 45 0
143 122 51 0
112 162 39 0
44 103 77 0
256 248 13 0
166 134 90 0
221 35 58 0
72 219 80 0
185 53 91 0
132 222 66 0
54 246 70 0
45 25 69 0
241 215 16 0
202 73 71 0
77 194 59 0
56 217 72 0
50 235 61 0
151 236 14 0
229 69 35 0
93 33 98 0
115 35 39 0
101 172 29 0
236 12 28 0
166 151 32 0
255 195 10 0
1 109 4 0
84 140 1 0
156 231 53 0
46 163 69 0
31 210 61 0
158 41 66 0
85 26 82 0
2 143 94 0
78 36 96 0
171 168 55 0
60 14 61 0
140 26 83 0
79 118 68 0
235 134 15 0
256 221 15 0
98 246 46 0
74 162 20 0
129 121 81 0
194 203 77 0
73 52 34 0
199 65 63 0
81 102 78 0
32 27 55 0
170 25 96 0
112 216 74 0
103 8 56 0
4 92 49 0
217 182 53 0
66 232 78 0
253 115 87 0
87 5 32 0
116 226 78 0
124 150 98 0
176 3 95 0
54 85 34 0
210 28 99 0
247 78 91 0
231 123 89 0
0 92 25 0
167 150 91 0
208 209 18 0
11 23 79 0
157 28 10 0
12 137 55 0
175 141 4 0
242 129 40 0
182 250 93 0
122 51 63 0
196 191 97 0
70 204 2 0
190 26 78 0
149 109 76 0
238 154 96 0
175 202 89 0
192 51 81 0
231 113 40 0
90 156 17 0
16 226 76 0
123 248 73 0
62 154 70 0
70 163 44 0
113 174 19 0
65 145 43 0
118 119 76 0
159 77 13 0
187 127 68 0
44 21 45 0
249 33 74 0
204 107 88 0
240 103 67 0
131 84 36 0
83 72 100 0
192 168 67 0
56 58 12 0
119 32 96 0
70 106 11 0
130 104 5 0
96 126 8 0
26 84 72 0
115 171 11 0
134 0 100 0
73 55 9 0
44 197 60 0
117 132 39 0
121 164 90 0
11 12 61 0
195 94 82 0
4 134 60 0
63 188 26 0
204 77 43 0
116 11 68 0
221 31 33 0
253 16 17 0
172 13 84 0
184 250 63 0
112 108 21 0
63 128 29 0
146 89 100 0
133 5 76 0
106 41 18 0
80 58 55 0
255 161 19 0
237 248 31 0
109 163 2 0
44 225 5 0
8 83 9 0
116 45 39 0
99 162 63 0
205 211 13 0
78 239 87 0
111 144 18 0
210 146 3 0
4 28 28 0
112 166 98 0
164 156 90 0
0 3 38 0
238 160 49 0
200 212 24 0
124 199 22 0
224 153 35 0
233 76 10 0
51 181 36 0
93 36 67 0
11 152 6 0
91 88 95 0
155 233 36 0
188 58 28 0
3 72 49 0
242 89 10 0
3 103 75 0
253 226 11 0
206 177 15 0
91 186 62 0
213 228 8 0
238 228 98 0
15 184 15 0
232 146 5 0
13 205 18 0
102 70 53 0
76 208 82 0
99 147 44 0
221 229 25 0
149 202 26 0
196 55 26 0
139 42 76 0
172 61 62 0
178 120 1 0
155 224 49 0
181 212 18 0
19 53 42 0
33 42 84 0
105 72 16 0
193 235 11 0
245 24 6 0
214 247 36 0
137 249 45 0
144 24 5 0
150 102 41 0
96 52 97 0
120 255 98 0
49 238 51 0
114 104 61 0
245 127 54 0
134 193 11 0
212 170 74 0
44 203 51 0
83 148 71 0
113 139 38 0
139 131 88 0
74 245 17 0
127 193 1 0
146 147 65 0
231 82 70 0
97 199 96 0
195 99 33 0
75 81 100 0
73 249 43 0
139 127 49 0
217 227 91 0
186 180 77 0
211 6 5 0
93 166 32 0
162 123 73 0
239 37 82 0
168 44 19 0
213 38 63 0
23 83 51 0
150 108 68 0
78 142 71 0
149 84 1 0
129 4 20 0
169 206 30 0
70 153 70 0
1 204 75 0
10 27 84 0
189 241 61 0
66 79 45 0
76 251 52 0
231 208 59 0
16 228 36 0
17 63 80 0
86 15 16 0
44 123 28 0
37 149 84 0
10 249 62 0
141 92 62 0
43 6 41 0
224 140 52 0
227 21 99 0
113 94 78 0
213 121 51 0
72 133 78 0
23 132 75 0
235 36 54 0
93 17 14 0
96 43 75 0
138 67 38 0
194 70 61 0
247 233 78 0
98 11 32 0
230 168 61 0
206 34 69 0
61 160 62 0
38 166 75 0
92 28 72 0
108 46 67 0
156 137 39 0
168 231 66 0
200 136 89 0
212 19 28 0
65 177 73 0
248 93 47 0
135 242 16 0
105 166 57 0
34 205 37 0
37 99 81 0
129 38 59 0
183 256 14 0
14 137 100 0
163 171 68 0
76 38 33 0
99 105 32 0
242 121 34 0
5 123 19 0
38 117 69 0
102 216 28 0
183 191 69 0
4 54 42 0
217 168 89 0
218 15 38 0
148 173 21 0
187 96 53 0
123 207 17 0
189 202 91 0
215 188 13 0
37 212 73 0
235 244 38 0
236 179 46 0
48 117 87 0
114 43 54 0
18 228 71 0
60 181 45 0
134 227 47 0
102 131 42 0
230 152 30 0
113 29 27 0
189 57 52 0
212 113 78 0
105 237 74 0
82 69 40 0
55 37 11 0
3 182 66 0
78 7 76 0
93 39 48 0
91 79 69 0
237 11 48 0
234 92 85 0
65 54 83 0
211 129 4 0
78 191 31 0
53 128 94 0
82 111 28 0
117 122 22 0
172 74 43 0
251 22 89 0
12 177 7 0
174 239 64 0
150 224 81 0
194 134 98 0
185 236 53 0
32 219 70 0
40 230 37 0
89 172 86 0
118 20 63 0
75 19 1 0
19 145 44 0
160 198 59 0
42 73 28 0
27 168 75 0
249 122 51 0
3 161 21 0
176 137 26 0
128 38 37 0
126 0 95 0
159 166 74 0
123 148 82 0
218 104 71 0
73 7 72 0
150 219 52 0
251 85 45 0
145 78 82 0
65 67 7 0
39 236 97 0
47 16 8 0
123 32 14 0
74 255 70 0
165 224 54 0
164 102 20 0
124 74 55 0
168 111 49 0
172 22 16 0
181 12 46 0
39 175 23 0
165 73 76 0
181 19 25 0
207 23 88 0
125 208 57 0
49 82 32 0
156 111 66 0
20 152 28 0
165 1 63 0
71 255 20 0
35 158 7 0
89 219 82 0
81 68 57 0
237 220 15 0
118 17 91 0
138 179 33 0
63 130 25 0
110 162 69 0
60 42 90 0
61 39 75 0
242 205 73 0
98 4 10 0
237 172 19 0
236 229 16 0
98 97 58 0
133 138 8 0
255 7 20 0
228 122 5 0
192 112 31 0
44 210 77 0
156 121 19 0
227 12 7 0
188 149 6 0
12 169 18 0
238 211 2 0
59 191 23 0
181 54 65 0
239 65 42 0
63 15 98 0
10 162 38 0
243 103 48 0
116 83 72 0
69 37 61 0
12 217 80 0
183 251 97 0
185 24 33 0
193 254 25 0
193 74 78 0
36 92 76 0
209 164 84 0
16 182 3 0
139 162 7 0
83 81 3 0
196 79 76 0
223 64 86 0
142 30 89 0
146 93 25 0
88 124 82 0
173 57 7 0
3 192 78 0
165 103 39 0
225 242 92 0
42 211 27 0
6 167 74 0
246 223 78 0
46 121 38 0
77 50 85 0
0 158 70 0
120 77 51 0
101 82 24 0
47 177 32 0
30 155 98 0
109 15 77 0
176 248 30 0
167 171 98 0
129 163 90 0
0 151 47 0
224 75 79 0
255 105 92 0
112 233 39 0
54 92 55 0
42 16 97 0
121 166 13 0
155 231 10 0
128 94 30 0
127 250 98 0
229 189 32 0
72 195 83 0
157 58 69 0
215 91 44 0
137 221 2 0
166 111 18 0
202 168 94 0
75 146 88 0
223 72 58 0
253 248 2 0
58 236 52 0
38 62 50 0
250 154 83 0
72 232 64 0
95 40 75 0
229 129 12 0
160 214 48 0
74 70 29 0
69 157 45 0
44 94 53 0
220 224 88 0
163 218 10 0
182 37 98 0
165 189 32 0
127 47 29 0
81 152 100 0
248 35 69 0
146 74 14 0
255 75 91 0
236 207 43 0
171 0 28 0
127 173 25 0
215 209 49 0
110 176 1 0
71 236 76 0
218 21 33 0
62 186 11 0
85 164 16 0
130 52 88 0
190 148 44 0
9 186 94 0
143 210 97 0
21 170 77 0
113 105 17 0
43 166 3 0
171 169 7 0
196 33 34 0
208 66 61 0
53 25 60 0
106 224 74 0
206 95 51 0
218 118 25 0
219 132 9 0
41 35 26 0
140 102 60 0
110 84 87 0
101 255 74 0
84 159 9 0
152 5 58 0
149 122 18 0
40 77 87 0
59 71 17 0
243 190 39 0
178 115 41 0
126 49 13 0
228 159 12 0
48 133 29 0
43 161 68 0
146 148 89 0
71 214 96 0
69 150 2 0
100 213 39 0
123 77 82 0
57 114 99 0
64 149 28 0
126 172 75 0
217 33 68 0
178 149 24 0
75 242 70 0
200 250 6 0
139 3 76 0
93 205 24 0
39 239 31 0
37 185 42 0
179 143 43 0
109 186 70 0
110 38 69 0
126 227 4 0
215 71 1 0
23 241 30 0
139 87 60 0
36 8 39 0
26 185 2 0
243 231 85 0
69 105 52 0
58 31 54 0
223 176 9 0
171 241 23 0
7 86 69 0
133 53 79 0
151 200 11 0
97 198 40 0
175 132 42 0
123 101 43 0
136 52 2 0
236 20 94 0
206 208 15 0
159 227 69 0
210 97 36 0
118 47 69 0
56 188 82 0
51 218 66 0
217 184 62 0
254 233 67 0
88 53 71 0
239 230 36 0
71 94 98 0
116 12 70 0
128 3 99 0
136 222 58 0
254 87 76 0
13 72 52 0
98 201 88 0
17 246 71 0
240 18 21 0
151 40 25 0
225 135 6 0
111 190 81 0
129 223 64 0
173 164 32 0
218 93 56 0
97 9 3 0
214 28 62 0
32 237 43 0
40 168 91 0
201 93 96 0
151 237 53 0
85 150 62 0
236 89 21 0
17 14 53 0
80 151 15 0
22 124 73 0
47 125 5 0
180 20 55 0
90 65 81 0
107 77 10 0
8 114 44 0
7 12 50 0
134 55 57 0
189 256 41 0
248 180 95 0
160 252 91 0
211 48 23 0
157 124 79 0
173 162 95 0
3 223 28 0
251 106 89 0
129 143 51 0
47 83 99 0
47 212 61 0
232 38 50 0
35 247 50 0
71 239 84 0
98 134 8 0
132 45 56 0
56 76 25 0
243 150 81 0
118 149 70 0
136 143 18 0
53 142 28 0
245 84 33 0
91 115 29 0
165 41 93 0
118 28 88 0
88 241 46 0
145 174 59 0
213 40 90 0
47 185 56 0
211 194 88 0
139 227 6 0
215 80 9 0
223 224 34 0
159 52 96 0
44 147 49 0
3 208 44 0
32 163 12 0
65 53 61 0
252 106 88 0
236 214 17 0
208 147 68 0
143 145 92 0
153 137 38 0
172 27 44 0
86 65 35 0
107 208 99 0
49 210 53 0
89 106 85 0
229 56 76 0
26 216 69 0
146 34 41 0
33 136 34 0
212 55 68 0
181 77 33 0
127 94 59 0
150 91 91 0
179 115 64 0
186 33 63 0
29 138 85 0
122 74 46 0
51 10 61 0
85 3 10 0
173 177 38 0
231 19 26 0
98 55 85 0
63 57 60 0
45 44 37 0
214 4 33 0
171 121 84 0
200 126 66 0
130 158 77 0
228 26 82 0
109 79 11 0
188 119 99 0
209 139 18 0
224 82 58 0
3 75 32 0
255 96 68 0
133 116 33 0
16 128 38 0
39 40 84 0
158 93 17 0
124 191 40 0
174 161 49 0
181 100 89 0
78 196 45 0
161 212 11 0
213 90 49 0
31 75 53 0
41 252 62 0
142 70 72 0
9 42 87 0
106 87 28 0
93 118 57 0
79 253 100 0
64 233 26 0
68 46 30 0
75 177 58 0
240 188 23 0
166 126 86 0
134 214 84 0
29 119 16 0
112 88 40 0
232 223 52 0
162 65 24 0
198 37 22 0
201 40 70 0
59 34 87 0
225 66 49 0
200 148 7 0
207 165 27 0
102 242 34 0
117 114 65 0
73 24 47 0
27 180 13 0
207 127 47 0
72 63 14 0
164 14 23 0
23 109 96 0
253 57 55 0
163 68 64 0
255 203 82 0
69 58 53 0
228 99 2 0
209 84 84 0
17 159 82 0
163 72 69 0
198 12 40 0
163 67 32 0
17 154 84 0
143 150 65 0
233 154 42 0
82 59 2 0
69 15 7 0
254 197 66 0
75 78 29 0
128 11 72 0
124 255 82 0
209 123 100 0
139 216 35 0
30 212 38 0
232 74 91 0
86 64 70 0
12 144 96 0
219 36 52 0
162 93 28 0
227 217 23 0
196 225 61 0
88 116 16 0
170 136 97 0
139 207 23 0
234 201 21 0
240 123 44 0
104 209 32 0
155 214 31 0
60 134 68 0
231 154 86 0
108 193 62 0
239 75 99 0
17 111 3 0
69 183 81 0
216 172 47 0
61 201 59 0
243 245 42 0
111 47 1 0
1 147 11 0
17 33 62 0
130 55 72 0
30 175 5 0
182 30 15 0
219 99 89 0
76 123 17 0
166 171 85 0
224 221 58 0
139 38 26 0
107 40 15 0
112 75 19 0
92 79 19 0
250 225 43 0
84 252 43 0
251 159 81 0
29 4 95 0
61 140 71 0
60 116 72 0
54 147 92 0
95 177 30 0
22 4 22 0
132 152 38 0
77 69 25 0
173 55 90 0
203 220 89 0
156 214 72 0
202 1 15 0
39 18 14 0
115 152 98 0
200 35 27 0
250 53 2 0
119 170 35 0
252 115 97 0
114 157 76 0
225 139 23 0
126 137 18 0
58 104 96 0
33 225 34 0
210 219 92 0
232 78 89 0
29 193 96 0
114 199 98 0
46 235 47 0
197 28 13 0
239 242 22 0
154 249 12 0
81 96 62 0
157 131 90 0
21 13 62 0
120 89 36 0
89 248 96 0
188 235 33 0
231 16 58 0
52 61 19 0
61 226 86 0
193 58 82 0
13 75 41 0
169 7 15 0
150 205 60 0
62 178 88 0
250 3 39 0
139 44 38 0
126 92 23 0
131 201 78 0
255 230 80 0
1 216 15 0
40 36 27 0
124 178 70 0
187 247 85 0
90 66 69 0
69 87 49 0
69 216 21 0
44 39 59 0
254 114 29 0
68 83 75 0
91 222 37 0
81 232 16 0
143 17 24 0
197 62 74 0
98 74 66 0
150 127 51 0
220 69 58 0
223 34 50 0
94 202 11 0
67 189 67 0
104 55 75 0
99 16 41 0
152 191 6 0
7 3 66 0
6 64 83 0
142 117 23 0
239 82 85 0
98 132 85 0
235 99 46 0
47 113 46 0
39 173 16 0
103 240 72 0
232 10 2 0
105 117 32 0
67 207 49 0
22 142 66 0
24 206 55 0
171 51 49 0
62 251 14 0
84 115 49 0
221 150 9 0
172 89 32 0
241 73 25 0
216 112 36 0
88 165 31 0
245 73 5 0
21 132 39 0
117 43 88 0
40 51 90 0
153 216 25 0
25 233 7 0
50 241 37 0
206 156 81 0
192 98 69 0
92 188 28 0
81 34 4 0
101 253 41 0
44 177 27 0
121 211 25 0
20 167 75 0
200 17 97 0
237 68 31 0
0 71 6 0
207 58 3 0
175 230 10 0
186 74 70 0
158 162 59 0
173 132 60 0
247 14 14 0
23 174 89 0
60 109 32 0
207 108 22 0
96 139 83 0
13 66 19 0
185 91 71 0
175 218 6 0
181 2 19 0
183 31 5 0
255 36 10 0
160 17 27 0
193 5 14 0
113 217 17 0
8 223 8 0
134 219 17 0
13 247 60 0
222 45 54 0
230 21 63 0
166 183 18 0
162 194 59 0
206 97 74 0
59 78 1 0
178 238 84 0
71 48 62 0
84 249 79 0
22 158 73 0
11 69 9 0
238 99 74 0
35 149 90 0
141 214 86 0
119 219 75 0
16 233 17 0
138 43 27 0
114 206 66 0
173 230 40 0
102 2 80 0
181 141 86 0
16 95 73 0
205 21 25 0
182 42 69 0
25 158 34 0
114 96 53 0
13 127 46 0
158 82 65 0
1 89 93 0
3 233 34 0
177 180 99 0
78 57 67 0
100 31 97 0
30 20 33 0
239 219 21 0
150 82 95 0
193 126 18 0
238 34 87 0
93 116 40 0
4 109 42 0
42 115 79 0
118 251 68 0
102 47 29 0
69 129 96 0
207 170 15 0
138 210 39 0
54 202 22 0
250 122 18 0
127 51 62 0
93 12 65 0
151 254 97 0
33 45 7 0
64 234 95 0
93 252 62 0
9 13 69 0
133 228 88 0
57 23 35 0
96 105 37 0
97 168 30 0
7 143 74 0
220 3 91 0
20 87 41 0
247 206 46 0
130 186 35 0
174 77 15 0
154 197 8 0
256 192 83 0
3 129 88 0
201 103 38 0
98 222 22 0
160 123 73 0
191 133 83 0
37 252 51 0
142 171 26 0
229 146 40 0
28 172 76 0
68 251 54 0
4 116 94 0
238 244 10 0
65 19 47 0
254 70 18 0
97 71 86 0
168 18 12 0
98 48 9 0
240 193 79 0
208 187 83 0
77 163 66 0
174 55 89 0
5 128 95 0
225 209 33 0
174 0 50 0
125 72 87 0
241 170 73 0
256 222 41 0
246 103 58 0
125 158 18 0
88 64 6 0
91 68 10 0
14 23 75 0
131 89 91 0
53 180 94 0
126 45 83 0
58 51 94 0
216 63 90 0
89 19 66 0
40 147 30 0
42 62 87 0
173 100 45 0
158 117 99 0
152 253 41 0
233 244 19 0
184 50 58 0
233 83 95 0
17 58 31 0
80 71 23 0
103 111 26 0
242 212 11 0
232 154 78 0
194 23 19 0
220 71 4 0
249 176 93 0
109 218 27 0
72 178 89 0
139 73 43 0
23 106 39 0
18 75 13 0
118 160 3 0
196 97 92 0
1 120 68 0
1 211 34 0
133 163 18 0
48 254 53 0
202 194 5 0
87 42 95 0
36 82 6 0
168 6 73 0
102 146 21 0
49 196 13 0
110 52 15 0
111 105 16 0
158 139 3 0
103 48 14 0
96 50 8 0
235 94 89 0
108 217 69 0
8 66 95 0
43 118 23 0
189 111 6 0
204 124 36 0
219 164 43 0
246 10 66 0
3 204 10 0
256 197 77 0
157 221 87 0
50 64 3 0
249 25 14 0
208 7 40 0
77 44 86 0
119 30 52 0
148 232 31 0
159 252 64 0
54 103 28 0
134 96 36 0
185 110 49 0
44 118 18 0
242 4 74 0
246 52 56 0
185 101 21 0
209 38 25 0
136 195 67 0
15 227 40 0
231 77 52 0
61 159 91 0
232 31 52 0
77 240 65 0
37 108 81 0
53 37 16 0
41 209 1 0
79 74 36 0
210 230 48 0
117 198 86 0
81 40 23 0
241 155 53 0
90 150 8 0
229 241 39 0
46 75 22 0
227 23 23 0
63 43 74 0
95 242 52 0
76 215 39 0
168 37 78 0
124 154 84 0
90 1 71 0
120 90 86 0
152 102 40 0
55 227 2 0
205 69 20 0
142 14 84 0
198 131 35 0
174 35 56 0
60 53 38 0
197 127 47 0
70 207 45 0
181 129 79 0
37 177 24 0
210 11 45 0
162 12 8 0
246 139 20 0
10 182 54 0
179 141 42 0
99 163 7 0
110 175 41 0
25 68 64 0
178 31 53 0
61 236 95 0
110 92 47 0
6 52 49 0
77 117 86 0
147 72 66 0
33 92 5 0
227 181 13 0
120 144 91 0
62 137 72 0
249 140 84 0
221 134 1 0
73 26 87 0
131 93 38 0
148 135 23 0
186 125 42 0
125 16 13 0
76 238 47 0
247 166 46 0
235 104 87 0
154 9 51 0
165 72 48 0
146 166 38 0
221 187 7 0
96 98 21 0
206 211 25 0
218 25 88 0
62 244 15 0
174 191 71 0
125 201 44 0
60 161 82 0
127 117 51 0
154 27 83 0
82 210 75 0
72 102 55 0
254 185 16 0
10 210 63 0
165 146 68 0
11 33 56 0
98 137 100 0
237 211 53 0
76 2 93 0
78 111 2 0
42 81 81 0
34 182 18 0
128 85 60 0
37 73 77 0
122 111 64 0
94 6 66 0
28 215 35 0
37 4 66 0
167 20 40 0
192 72 38 0
105 242 56 0
78 173 75 0
